budget,id,original_title,popularity,revenue,runtime,vote_average,vote_count,genre_1,genre_2,genre_3,director,release_year,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,main_lead,is_male,is_female,,,,prod_comp_count,release_year,count,decade1,custom category,,,year,decadewise,custom category,,,,country_release_count
2.00E+08,296,Terminator 3: Rise of the Machines,69.405188,4.35E+08,109,5.9,2143,Action,Thriller,Science Fiction,Jonathan Mostow,2003,0,0,0,1,0,0,0,0,Arnold Schwarzenegger,1,0,,,,0.6,1953,3,5,1,,,,,,,,,0.3
2.00E+08,68721,Iron Man 3,77.68208,1215439994,130,6.8,8806,Action,Adventure,Science Fiction,Shane Black,2013,0,0,0,1,0,0,0,0,Robert Downey Jr.,1,0,,,,0.1,1955,1,5,1,,,,,,,,,0.2
2.00E+08,37724,Skyfall,93.004993,1108561013,143,6.9,7604,Action,Adventure,Thriller,Sam Mendes,2012,0,0,0,1,0,0,0,0,Daniel Craig,1,0,,,,0.1,1956,3,5,1,,,,,,,,,0.2
2.00E+08,58,Pirates of the Caribbean: Dead Man's Chest,145.847379,1065659812,151,7,5246,Adventure,Fantasy,Action,Gore Verbinski,2006,0,0,1,0,0,0,0,0,Johnny Depp,1,0,,,,0.3,1957,2,5,1,,,,,,,,,0.4
2.00E+08,558,Spider-Man 2,35.149586,783766341,127,6.7,4321,Action,Adventure,Fantasy,Sam Raimi,2004,0,0,0,1,0,0,0,0,Tobey Maguire,1,0,,,,0.3,1958,1,5,1,,,,,,,,,0.1
2.00E+08,14161,2012,45.274225,769653595,158,5.6,4903,Action,Adventure,Science Fiction,Roland Emmerich,2009,0,0,0,1,0,0,0,0,John Cusack,1,0,,,,0.4,1959,3,5,1,,,,,,,,,0.2
2.00E+08,102382,The Amazing Spider-Man 2,89.270217,705717432,142,6.5,4179,Action,Adventure,Fantasy,Marc Webb,2014,0,0,0,1,0,0,0,0,Andrew Garfield,1,0,,,,0.4,1960,3,6,1,,,,,,,,,0.1
2.00E+08,10138,Iron Man 2,77.300194,623933331,124,6.6,6849,Adventure,Action,Science Fiction,Jon Favreau,2010,0,0,1,0,0,0,0,0,Robert Downey Jr.,1,0,,,,0.1,1961,5,6,1,,,,,,,,,0.1
2.00E+08,10764,Quantum of Solace,107.928811,586090727,106,6.1,2965,Adventure,Action,Thriller,Marc Forster,2008,0,0,1,0,0,0,0,0,Daniel Craig,1,0,,,,0.1,1962,5,6,1,,,,,,,,,0.2
2.00E+08,72190,World War Z,81.834855,531865000,116,6.7,5560,Action,Drama,Horror,Marc Forster,2013,0,0,0,1,0,0,0,0,Brad Pitt,1,0,,,,0.7,1963,8,6,1,,,,,,,,,0.2
2.00E+08,68728,Oz: The Great and Powerful,46.985445,491868548,130,5.7,3530,Fantasy,Adventure,Family,Sam Raimi,2013,0,0,0,0,0,1,0,0,James Franco,1,0,,,,0.2,1964,7,6,1,,,,,,,,,0.1
