revenue,popularity,runtime,budget,vote_average,prod_comp_count,country_release_count,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,is_male,is_female,main_lead,id,original_title,genre_1,genre_2,genre_3,director,release_year,vote_count,,,,,,,,,,,,,,
1215439994,77.68208,130,2.00E+08,6.8,0.1,0.2,0,0,0,1,0,0,0,0,1,0,Robert Downey Jr.,68721,Iron Man 3,Action,Adventure,Science Fiction,Shane Black,2013,8806,,,,,,,,,,,,,,
1108561013,93.004993,143,2.00E+08,6.9,0.1,0.2,0,0,0,1,0,0,0,0,1,0,Daniel Craig,37724,Skyfall,Action,Adventure,Thriller,Sam Mendes,2012,7604,,,,,,,,,,,,,,
1065659812,145.847379,151,2.00E+08,7,0.3,0.4,0,0,1,0,0,0,0,0,1,0,Johnny Depp,58,Pirates of the Caribbean: Dead Man's Chest,Adventure,Fantasy,Action,Gore Verbinski,2006,5246,,,,,,,,,,,,,,
783766341,35.149586,127,2.00E+08,6.7,0.3,0.1,0,0,0,1,0,0,0,0,1,0,Tobey Maguire,558,Spider-Man 2,Action,Adventure,Fantasy,Sam Raimi,2004,4321,,,,,,,,,,,,,,
769653595,45.274225,158,2.00E+08,5.6,0.4,0.2,0,0,0,1,0,0,0,0,1,0,John Cusack,14161,2012,Action,Adventure,Science Fiction,Roland Emmerich,2009,4903,,,,,,,,,,,,,,
705717432,89.270217,142,2.00E+08,6.5,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Andrew Garfield,102382,The Amazing Spider-Man 2,Action,Adventure,Fantasy,Marc Webb,2014,4179,,,,,,,,,,,,,,
623933331,77.300194,124,2.00E+08,6.6,0.1,0.1,0,0,1,0,0,0,0,0,1,0,Robert Downey Jr.,10138,Iron Man 2,Adventure,Action,Science Fiction,Jon Favreau,2010,6849,,,,,,,,,,,,,,
586090727,107.928811,106,2.00E+08,6.1,0.1,0.2,0,0,1,0,0,0,0,0,1,0,Daniel Craig,10764,Quantum of Solace,Adventure,Action,Thriller,Marc Forster,2008,2965,,,,,,,,,,,,,,
531865000,81.834855,116,2.00E+08,6.7,0.7,0.2,0,0,0,1,0,0,0,0,1,0,Brad Pitt,72190,World War Z,Action,Drama,Horror,Marc Forster,2013,5560,,,,,,,,,,,,,,
491868548,46.985445,130,2.00E+08,5.7,0.2,0.1,0,0,0,0,0,1,0,0,1,0,James Franco,68728,Oz: The Great and Powerful,Fantasy,Adventure,Family,Sam Raimi,2013,3530,,,,,,,,,,,,,,
371353001,71.862892,115,2.00E+08,5.9,0.4,0.4,0,0,0,1,0,0,0,0,1,0,Christian Bale,534,Terminator Salvation,Action,Science Fiction,Thriller,McG,2009,2463,,,,,,,,,,,,,,
310669540,37.668301,140,2.00E+08,6.2,0.4,0.2,0,0,0,1,0,0,0,0,1,0,Russell Crowe,20662,Robin Hood,Action,Adventure,NA,Ridley Scott,2010,1398,,,,,,,,,,,,,,
219851172,51.872839,114,2.00E+08,5.1,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Ryan Reynolds,44912,Green Lantern,Adventure,Action,Thriller,Martin Campbell,2011,2487,,,,,,,,,,,,,,
1123746996,28.529607,154,1.95E+08,6.1,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Shia LaBeouf,38356,Transformers: Dark of the Moon,Action,Science Fiction,Adventure,Michael Bay,2011,3299,,,,,,,,,,,,,,
197687603,43.349855,114,1.95E+08,5.5,0.6,0.1,0,0,0,1,0,0,0,0,1,0,Nicholas Hoult,81005,Jack the Giant Slayer,Action,Family,Fantasy,Bryan Singer,2013,2598,,,,,,,,,,,,,,
1506249360,102.322217,137,1.90E+08,7.3,1,0.2,0,0,0,1,0,0,0,0,1,0,Vin Diesel,168259,Furious 7,Action,NA,NA,James Wan,2015,4176,,,,,,,,,,,,,,
467365246,78.291018,132,1.90E+08,7.4,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Chris Pine,54138,Star Trek Into Darkness,Action,Adventure,Science Fiction,J.J. Abrams,2013,4418,,,,,,,,,,,,,,
209154322,130.311355,130,1.90E+08,6.2,0.3,0.1,0,0,1,0,0,0,0,0,0,1,Britt Robertson,158852,Tomorrowland,Adventure,Family,Mystery,Brad Bird,2015,2846,,,,,,,,,,,,,,
1004558444,187.322927,152,1.85E+08,8.2,0.5,0.2,1,0,0,0,0,0,0,0,1,0,Christian Bale,155,The Dark Knight,Drama,Action,Crime,Christopher Nolan,2008,12002,,,,,,,,,,,,,,
786636033,75.674458,122,1.85E+08,5.7,0.2,0.1,0,0,1,0,0,0,0,0,1,0,Harrison Ford,217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,Action,NA,Steven Spielberg,2008,2495,,,,,,,,,,,,,,
343471816,65.352913,122,1.85E+08,6.6,0.7,0.1,0,0,0,1,0,0,0,0,1,0,Chris Pine,188927,Star Trek Beyond,Action,Adventure,Science Fiction,Justin Lin,2016,2568,,,,,,,,,,,,,,
758539785,110.620647,97,1.80E+08,7,0.3,0.1,0,0,0,0,0,1,0,0,0,1,Angelina Jolie,102651,Maleficent,Fantasy,Adventure,Action,Robert Stromberg,2014,4496,,,,,,,,,,,,,,
748806957,67.391328,143,1.80E+08,6.7,0.2,0.2,0,0,1,0,0,0,0,0,1,0,William Moseley,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Family,Fantasy,Andrew Adamson,2005,2629,,,,,,,,,,,,,,
407602906,56.523205,131,1.80E+08,6.7,0.4,0.2,0,0,0,1,0,0,0,0,1,0,Idris Elba,68726,Pacific Rim,Action,Science Fiction,Adventure,Guillermo del Toro,2013,4794,,,,,,,,,,,,,,
372234864,42.990906,113,1.80E+08,5.8,0.4,0.2,0,0,1,0,0,0,0,0,0,1,Dakota Blue Richards,2268,The Golden Compass,Adventure,Fantasy,NA,Chris Weitz,2007,1303,,,,,,,,,,,,,,
356743061,42.741719,109,1.80E+08,5.5,0.7,0.3,0,0,0,1,0,0,0,0,1,0,Alexander Skarsg̴rd,258489,The Legend of Tarzan,Action,Adventure,NA,David Yates,2016,2430,,,,,,,,,,,,,,
370541256,79.456485,113,1.78E+08,7.6,0.6,0.2,0,0,0,1,0,0,0,0,1,0,Tom Cruise,137113,Edge of Tomorrow,Action,Science Fiction,NA,Doug Liman,2014,4858,,,,,,,,,,,,,,
7.45E+08,90.23792,123,1.75E+08,5.9,0.5,0.1,0,0,0,1,0,0,0,0,1,0,Will Smith,297761,Suicide Squad,Action,Adventure,Crime,David Ayer,2016,7458,,,,,,,,,,,,,,
1.73E+08,27.082182,96,1.75E+08,5.3,0.7,0.1,0,0,0,0,0,1,0,0,1,0,Steve Carell,2698,Evan Almighty,Fantasy,Comedy,Family,Tom Shadyac,2007,1151,,,,,,,,,,,,,,
857611174,128.655964,94,1.75E+08,8,0.2,0.1,1,0,0,0,0,0,0,0,0,1,Amy Poehler,150540,Inside Out,Drama,Comedy,Animation,Pete Docter,2015,6560,,,,,,,,,,,,,,
497409852,66.803149,163,1.75E+08,6.9,0.6,0.3,0,0,1,0,0,0,0,0,1,0,Brad Pitt,652,Troy,Adventure,Drama,War,Wolfgang Petersen,2004,2759,,,,,,,,,,,,,,
331926147,51.692953,93,1.75E+08,6.6,0.2,0.1,0,0,1,0,0,0,0,0,0,0,Raymond Ochoa,105864,The Good Dinosaur,Adventure,Animation,Family,Peter Sohn,2015,1736,,,,,,,,,,,,,,
302469017,32.852443,118,1.75E+08,5.6,0.5,0.2,0,0,1,0,0,0,0,0,1,0,Dennis Quaid,14869,G.I. Joe: The Rise of Cobra,Adventure,Action,Thriller,Stephen Sommers,2009,1962,,,,,,,,,,,,,,
264218220,44.640292,135,1.75E+08,5.9,0.4,0.1,0,0,1,0,0,0,0,0,1,0,Kevin Costner,9804,Waterworld,Adventure,Action,NA,Kevin Reynolds,1995,992,,,,,,,,,,,,,,
